source,model,rmse,original_rmse,centered_rmse,proxy,T,amplitude,realized,oracle
holdout_seed_bag_v1,listwise_transformer_seed46,0.8527399986501926,0.8527399986501926,0.43192735977973096,32.16964677067316,0.7685015571571123,0.7055796200273735,6435.870894006926,9000.886095779735
holdout_seed_bag_v1,listwise_transformer_mean,0.766735469826549,0.7667354698265489,0.41468687104686014,28.209676514337442,0.7866093498797794,0.5804019201006013,6693.875025301353,9000.886095779735
holdout_seed_bag_v1,spo_lstm_seed42,0.833675556506089,0.833675556506089,0.4033269683719752,49.49757052291603,0.7772050911208492,0.7132032521337688,6546.560555626133,9000.886095779735
holdout_seed_bag_v1,spo_lstm_seed43,0.8114162568880398,0.8114162568880398,0.4131367568478933,56.194839161702475,0.7717702450960835,0.7814768603197945,6456.256305760955,9000.886095779735
holdout_seed_bag_v1,spo_lstm_seed44,0.7851947037615598,0.7851947037615599,0.40869439954578746,52.6254873395504,0.7702179727319799,0.6876846303937187,6239.067159590595,9000.886095779735
holdout_seed_bag_v1,spo_lstm_seed45,0.9578890975964344,0.9578890975964344,0.4053716216544174,50.254772810186125,0.7702454181038451,0.6775659811613649,6430.004354936163,9000.886095779735
holdout_seed_bag_v1,spo_lstm_seed46,0.8337747528083573,0.8337747528083573,0.40465389945048175,51.82858690958599,0.7774150316290129,0.7190143972701541,6484.371941487148,9000.886095779735
holdout_seed_bag_v1,spo_lstm_mean,0.8408383866891215,0.8408383866891214,0.4032964625755009,50.5334727515693,0.7798423182520579,0.7090446304815552,6476.013317670034,9000.886095779735
holdout_seed_bag_v1,window_ce_lstm_seed42,0.840092149921684,0.8400921499216839,0.4184987890805342,51.98271102809367,0.7489035711095061,0.6839348200799191,6301.350028314183,9000.886095779735
holdout_seed_bag_v1,window_ce_lstm_seed43,0.7672250503113431,0.7672250503113431,0.41165897688645636,47.00100862218716,0.7642561767827343,0.6417603596252018,6120.004099694218,9000.886095779735
holdout_seed_bag_v1,window_ce_lstm_seed44,0.7922727356394372,0.792272735639437,0.41176202981008586,52.543653176665806,0.753086398699087,0.6554014611453736,6213.5715101408905,9000.886095779735
holdout_seed_bag_v1,window_ce_lstm_seed45,0.9084584376100536,0.9084584376100536,0.4090070413933931,46.54498971516712,0.7443181889733184,0.5790460302639615,5916.328569787925,9000.886095779735
holdout_seed_bag_v1,window_ce_lstm_seed46,0.8983810830304589,0.8983810830304592,0.4190440921430001,58.586125018828284,0.755584760960557,0.6990574809078551,5699.286682925662,9000.886095779735
holdout_seed_bag_v1,window_ce_lstm_mean,0.8347421295337275,0.8347421295337275,0.40638869754475243,48.03133856273045,0.764310807744496,0.6357441923490478,6114.310486511797,9000.886095779735
holdout_seed_bag_v1,listwise_spo_50_50,0.7887835423485625,0.7887835423485625,0.4020084696326872,38.42273913997032,0.7846456049293304,0.6319461499841879,6537.1442098801945,9000.886095779735
holdout_dispatch_loss_v1,transformer_dispatch,1.6212809129703454,1.621281,0.4051568533875298,45.54552852660985,0.7727845186801994,0.6878761402878765,6213.626563877091,9000.886095779735
holdout_dispatch_loss_v1,lstm_dispatch,0.8590587991965877,0.859059,0.41882307557177934,52.07219657650363,0.7492489014866214,0.6848811651083085,6301.331964649514,9000.886095779735
holdout_dispatch_loss_v1,dlinear_dispatch,0.8846482652606064,0.884648,0.516125772517597,70.5115523793574,0.6739301803409042,1.0262093931455305,5537.905309633621,9000.886095779735
holdout_dfl_bakeoff_v1,lstm_expected,0.8378537478799615,0.837854,0.41850134845268333,48.31698442240095,0.7336706630046052,0.527380263360933,6016.35403692155,9000.886095779735
holdout_dfl_bakeoff_v1,lstm_pairwise,0.8114419350768011,0.811442,0.5421278203925223,62.28381921263297,-0.01871167525192483,0.20749646114370737,1000.0534367196964,9000.886095779735
holdout_dfl_bakeoff_v1,lstm_spoplus,0.7731448541287995,0.773145,0.40615081603837694,55.32920586287413,0.7872044456350945,0.8458210034021445,6409.997848769095,9000.886095779735
holdout_dfl_bakeoff_v1,lstm_dbb,0.9147844366039681,0.914784,0.5230895690714261,27.926144097717284,0.6884521819295545,0.016425493068058017,5757.211355539077,9000.886095779735
holdout_dfl_bakeoff_v1,blend_val30,0.8445122744342014,0.844512,0.4214299243556504,56.820152962272296,0.7424933574853164,0.7098184743027763,5828.679085493895,9000.886095779735
